                                 Started job on |	May 15 11:24:40
                             Started mapping on |	May 15 11:29:23
                                    Finished on |	May 15 11:49:22
       Mapping speed, Million of reads per hour |	149.79

                          Number of input reads |	49889491
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	42902467
                        Uniquely mapped reads % |	85.99%
                          Average mapped length |	149.43
                       Number of splices: Total |	4483280
            Number of splices: Annotated (sjdb) |	4409818
                       Number of splices: GT/AG |	4442572
                       Number of splices: GC/AG |	31785
                       Number of splices: AT/AC |	3985
               Number of splices: Non-canonical |	4938
                      Mismatch rate per base, % |	0.38%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.57
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.38
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	4400106
             % of reads mapped to multiple loci |	8.82%
        Number of reads mapped to too many loci |	64267
             % of reads mapped to too many loci |	0.13%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	4.55%
                     % of reads unmapped: other |	0.50%
