                                 Started job on |	May 15 03:08:24
                             Started mapping on |	May 15 03:12:51
                                    Finished on |	May 15 03:42:48
       Mapping speed, Million of reads per hour |	99.97

                          Number of input reads |	49903051
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	42805966
                        Uniquely mapped reads % |	85.78%
                          Average mapped length |	149.90
                       Number of splices: Total |	18930361
            Number of splices: Annotated (sjdb) |	18744045
                       Number of splices: GT/AG |	18787737
                       Number of splices: GC/AG |	115274
                       Number of splices: AT/AC |	14303
               Number of splices: Non-canonical |	13047
                      Mismatch rate per base, % |	0.34%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.47
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.28
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	5773457
             % of reads mapped to multiple loci |	11.57%
        Number of reads mapped to too many loci |	14033
             % of reads mapped to too many loci |	0.03%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	2.60%
                     % of reads unmapped: other |	0.03%
