                                 Started job on |	May 15 11:07:30
                             Started mapping on |	May 15 11:12:27
                                    Finished on |	May 15 11:32:09
       Mapping speed, Million of reads per hour |	151.77

                          Number of input reads |	49829615
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	43035077
                        Uniquely mapped reads % |	86.36%
                          Average mapped length |	149.61
                       Number of splices: Total |	4474901
            Number of splices: Annotated (sjdb) |	4402141
                       Number of splices: GT/AG |	4435102
                       Number of splices: GC/AG |	31789
                       Number of splices: AT/AC |	3779
               Number of splices: Non-canonical |	4231
                      Mismatch rate per base, % |	0.38%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.57
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.39
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	4250445
             % of reads mapped to multiple loci |	8.53%
        Number of reads mapped to too many loci |	63390
             % of reads mapped to too many loci |	0.13%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	4.49%
                     % of reads unmapped: other |	0.49%
