                                 Started job on |	May 15 17:35:55
                             Started mapping on |	May 15 17:40:15
                                    Finished on |	May 15 18:08:18
       Mapping speed, Million of reads per hour |	106.61

                          Number of input reads |	49839489
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	43638212
                        Uniquely mapped reads % |	87.56%
                          Average mapped length |	149.92
                       Number of splices: Total |	18064556
            Number of splices: Annotated (sjdb) |	17868097
                       Number of splices: GT/AG |	17934623
                       Number of splices: GC/AG |	103362
                       Number of splices: AT/AC |	11660
               Number of splices: Non-canonical |	14911
                      Mismatch rate per base, % |	0.31%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.53
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.27
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	4657374
             % of reads mapped to multiple loci |	9.34%
        Number of reads mapped to too many loci |	12398
             % of reads mapped to too many loci |	0.02%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	3.04%
                     % of reads unmapped: other |	0.03%
