                                 Started job on |	May 15 17:37:40
                             Started mapping on |	May 15 17:42:43
                                    Finished on |	May 15 18:02:24
       Mapping speed, Million of reads per hour |	152.01

                          Number of input reads |	49868504
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	42631892
                        Uniquely mapped reads % |	85.49%
                          Average mapped length |	149.67
                       Number of splices: Total |	4286860
            Number of splices: Annotated (sjdb) |	4216829
                       Number of splices: GT/AG |	4247986
                       Number of splices: GC/AG |	30792
                       Number of splices: AT/AC |	3857
               Number of splices: Non-canonical |	4225
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.56
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.38
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	4630707
             % of reads mapped to multiple loci |	9.29%
        Number of reads mapped to too many loci |	64209
             % of reads mapped to too many loci |	0.13%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	4.59%
                     % of reads unmapped: other |	0.51%
